id_number,name,year_level,course,track,specialization,email_address,contact_number
123456,John Brown,3,BS MIS,none,Business Intelligence,bleh@boo.com,9081112222
123457,Kevin Uy,4,BS MIS,none,Enterprise Systems,bleh@boo.com,9081112222
123458,Bianca Tuazon,2,BS MIS,none,Interactive Multimedia,bleh@boo.com,9081112222
123459,John Cruz,4,BS MIS,Enterprise Systems,Interactive Multimedia,bleh@boo.com,9081112222
123460,Manny Pacquiao,3,BS MIS,Enterprise Systems,Business Intelligence,bleh@boo.com,9081112222
124120,Anne Curtis,3,BS MIS,none,Business Intelligence,bleh@boo.com,9081112222
124121,Lea Salonga,2,BS MIS,Business Intelligence,Business Intelligence,bleh@boo.com,9081112222
124122,Sarah Geronimo,3,BS MIS,Interactive Multimedia,none,bleh@boo.com,9081112222
124123,Daniel Padilla,2,BS MIS,Enterprise Systems,none,bleh@boo.com,9081112222
124124,Julia Montes,3,BS MIS,Business Intelligence,none,bleh@boo.com,9081112222
124125,Enrique Gil,2,BS MIS,Enterprise Systems,Business Intelligence,bleh@boo.com,9081112222
124126,Angel Locsin,3,BS MIS,Interactive Multimedia,Business Intelligence,angel@locsin.com,9081112221
